"","Measurement.Time","Value","Loc"
"249",2017-11-19,18.54475,"PC"
"250",2017-11-19,18.37825,"PC"
"251",2017-11-19,18.14075,"PC"
"252",2017-11-19,17.92625,"PC"
"253",2017-11-19,17.617,"PC"
"254",2017-11-19,17.522,"PC"
"255",2017-11-19,17.42675,"PC"
"256",2017-11-19,17.45075,"PC"
"257",2017-11-19,17.54625,"PC"
"258",2017-11-19,17.76,"PC"
"259",2017-11-19,18.069,"PC"
"260",2017-11-19,18.47325,"PC"
"261",2017-11-19,18.9255,"PC"
"262",2017-11-19,19.306,"PC"
"263",2017-11-19,19.806,"PC"
"264",2017-11-19,19.94825,"PC"
"265",2017-11-19,20.4245,"PC"
"266",2017-11-19,20.92525,"PC"
"267",2017-11-19,21.23475,"PC"
"268",2017-11-19,21.9035,"PC"
"269",2017-11-19,23.65725,"PC"
"270",2017-11-19,23.32325,"PC"
"271",2017-11-19,22.813,"PC"
"272",2017-11-19,23.36575,"PC"
"273",2017-11-19,23.24475,"PC"
"274",2017-11-19,23.918,"PC"
"275",2017-11-19,23.65575,"PC"
"276",2017-11-19,23.5825,"PC"
"277",2017-11-19,23.4125,"PC"
"278",2017-11-19,22.932,"PC"
"279",2017-11-19,22.9105,"PC"
"280",2017-11-19,23.227,"PC"
"281",2017-11-19,21.4505,"PC"
"282",2017-11-19,20.998,"PC"
"283",2017-11-19,21.09375,"PC"
"284",2017-11-19,20.5445,"PC"
"285",2017-11-19,19.9015,"PC"
"286",2017-11-19,19.687,"PC"
"287",2017-11-19,19.63975,"PC"
"288",2017-11-19,19.592,"PC"
"289",2017-11-20,19.54425,"PC"
"290",2017-11-20,19.401,"PC"
"291",2017-11-20,19.40125,"PC"
"292",2017-11-20,19.47275,"PC"
"293",2017-11-20,19.44875,"PC"
"294",2017-11-20,19.449,"PC"
"295",2017-11-20,19.32975,"PC"
"296",2017-11-20,19.42475,"PC"
"297",2017-11-20,19.211,"PC"
"298",2017-11-20,19.23475,"PC"
"299",2017-11-20,19.068,"PC"
"300",2017-11-20,19.0205,"PC"
"301",2017-11-20,18.9255,"PC"
"302",2017-11-20,18.735,"PC"
"303",2017-11-20,18.6875,"PC"
"304",2017-11-20,18.5925,"PC"
"305",2017-11-20,18.59225,"PC"
"306",2017-11-20,18.8775,"PC"
"307",2017-11-20,18.9725,"PC"
